Stream,jun_05,jul_05,jun_06,jul_06,jun_07,jul_07,jun_08,jul_08,jun_09,jul_09,jun_10,jul_10,jun_11,jul_11
Site1,12,13,8,3,5,17,0,2,1,8,0,14,0,3
Site2,0,0,2,4,6,7,0,1,3,4,1,4,3,0
Site3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Site6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Site7,1,1,0,0,4,3,2,0,0,0,0,0,1,0
Site8,3,2,0,0,2,0,0,0,0,0,1,0,2,2
Site9,6,0,2,1,4,5,1,0,0,0,0,0,1,0
Site10,0,0,0,1,0,0,0,1,0,2,0,2,0,1
Site11,3,3,0,4,1,1,1,1,1,0,1,0,0,1
Site12,0,0,0,4,1,2,1,1,0,1,1,3,0,2
Site13,3,3,2,4,2,9,2,1,1,3,2,3,4,2
Site14,2,3,0,3,1,0,0,1,0,0,0,0,3,3
Site15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site20,0,0,1,2,1,3,0,0,0,0,0,0,0,1
Site21,0,0,0,1,0,1,0,0,0,0,0,0,0,0
