"","fits1","timing"
"Arphia conspersa",128.547089651499,1
"Xanthippus corallipes",135.615989909539,1
"Eritettix simplex",151.472405779876,1
"Aeropedellus clavatus",186.338286463967,2
"Melanoplus boulderensis",187.639695746798,2
"Hesperotettix viridis",207.601532784138,3
"Melanoplus confusus",208.14968549764,3
"Melanoplus bivittatus",210.946491504016,3
"Melanoplus dawsoni",212.71145865033,3
"Cratypledes neglectus",215.541479645177,3
"Camnula pellucida",216.981378627303,3
"Melanoplus sanguinipes",223.700869578048,3
"Chloealtis abdominalis",232.328111789231,3
"Melanoplus fasciatus",NA,3
